icode,Mment,IndentQty,ProductionQty,DespatchQty,BalanceQty,IndentValue,ProductionValue,DespatchValue,BalanceValue,sno
253,KGS,15,31,19,-4,9552,19804,12343,-2791,325
474,NOS,836,0,841,-5,141694,0,142541,-847,326
24469,NOS,40,0,45,-5,1864,0,2097,-233,327
23050,NOS,60,0,65,-5,2678,0,2902,-223,328
22919,KGS,29,47,35,-6,29000,46740,35190,-6190,329
40203,KGS,20,67,26,-6,30000,99990,39225,-9225,330
8923,NOS,320,0,326,-6,13558,0,13813,-254,331
23086,NOS,5,37,12,-7,0,0,0,0,332
8919,NOS,174,0,182,-8,13271,0,13881,-610,333
7367,NOS,610,0,618,-8,55193,0,55917,-724,334
6,KGS,368,376,376,-8,238515,243488,243417,-4902,335
40264,KGS,22,86,31,-9,27762,108765,39549,-11786,336
468,NOS,88,0,98,-10,21214,0,23625,-2411,337
8922,NOS,89,0,99,-10,9051,0,10068,-1017,338
8915,NOS,34,0,44,-10,1441,0,1864,-424,339
8641,NOS,317,0,328,-11,0,0,0,0,340
475,NOS,551,0,562,-11,105770,0,107882,-2112,341
8927,NOS,215,0,227,-12,18221,0,19238,-1017,342
319,KGS,155,178,169,-14,100380,115424,109135,-8756,343
312,KGS,20,136,36,-16,12952,88340,23528,-10575,344
22215,NOS,10853,11200,10869,-16,920551,949984,921909,-1357,345
7371,NOS,2440,0,2461,-21,139422,0,140622,-1200,346
21611,KGS,162,309,183,-22,161500,308730,183270,-21770,347
1164,KGS,138,175,160,-23,165000,209868,192252,-27252,348
354,KGS,361,390,384,-23,361000,390440,383840,-22840,349
21614,KGS,78,148,102,-24,77500,148410,101560,-24060,350
12,KGS,724,757,751,-27,468546,489956,486103,-17557,351
323,KGS,120,160,148,-28,77714,103930,96049,-18334,352
22259,NOS,724,0,753,-29,58181,0,60511,-2330,353
52,KGS,443,489,481,-38,295330,325723,320350,-25020,354
22920,NOS,577,0,628,-51,36063,0,39250,-3188,355
22923,NOS,882,0,934,-52,39372,0,41694,-2321,356
13,KGS,310,367,365,-54,200824,237945,236060,-35236,357
1059,KGS,60,390,120,-60,60000,389950,120030,-60030,358
20911,KGS,673,741,735,-62,435647,479769,475799,-40152,359
8904,NOS,1192,0,1263,-71,53747,0,56949,-3201,360
45,KGS,242,333,314,-73,218500,301656,284420,-65921,361
324,KGS,673,754,748,-76,435518,488589,484484,-48966,362
114,KGS,70,469,145,-76,29841,200794,62267,-32426,363
8629,NOS,725,0,802,-77,32364,0,35801,-3437,364
46,KGS,203,295,282,-79,135012,196865,187938,-52926,365
1806,NOS,4368,2831,4450,-82,448506,290687,456926,-8420,366
15,KGS,526,620,617,-91,340902,401356,399543,-58641,367
23205,NOS,2446,0,2540,-94,262064,0,272136,-10071,368
8911,NOS,859,0,959,-100,43680,0,48765,-5085,369
16,KGS,568,679,669,-102,367583,439941,433348,-65765,370
